Tempo,Ref_T,Ref_U,Saida_T,Saida_U,Controle_T,Controle_U,Erro_T,Erro_U
5742,36,50,38.2971063019734,54.2239703311113,10.3833303331694,5.07501790740372,-2.29710630197336,-4.22397033111127
5760,36,50,37.5615774406882,53.8975772911905,11.0229242417989,4.56511691730471,-1.56157744068823,-3.89757729119046
5778,36,50,37.2348188856738,52.417455532148,11.6330050786985,7.57053110246985,-1.23481888567376,-2.417455532148
5796,36,50,37.358775881688,51.049706256429,10.9314470975436,3.9895333120291,-1.35877588168795,-1.04970625642896
5814,36,50,37.8440560339765,49.8863582913982,9.93144709754359,0,-1.84405603397653,0.113641708601826
5832,36,50,38.3626435430174,47.6192721755162,8.61822702333933,2.76314889876447,-2.36264354301744,2.38072782448381
5850,36,50,38.869631235828,44.507697472948,7.48289627094074,9.76314889876447,-2.869631235828,5.49230252705198
5868,36,50,39.3641613998386,42.278610037788,6.48289627094074,16.7631488987645,-3.36416139983861,7.72138996221197
5886,36,50,39.8016330840255,41.6637459331043,5.48289627094074,23.7631488987645,-3.80163308402554,8.33625406689573
5904,36,50,40.0321450071657,42.6696440370375,4.48289627094074,22.9623688207567,-4.03214500716572,7.33035596296246
5922,36,50,40.0114787456473,44.9931055863067,3.53040220918302,21.4658873254852,-4.01147874564734,5.0068944136933
5940,36,50,39.7639971652895,47.0625526779253,3.53040220918302,19.9658873254852,-3.76399716528951,2.93744732207466
5958,36,50,39.3279590049768,48.7597902711846,3.53040220918302,18.4658873254852,-3.32795900497682,1.24020972881542
5976,36,50,38.8430264853478,50.1143817065146,3.53040220918302,16.8430737787789,-2.84302648534783,-0.114381706514642
5994,36,50,38.3298301884374,51.1660669882792,3.73714979198492,13.8180115676164,-2.32983018843743,-1.16606698827918
6012,36,50,37.8681185560601,51.8946871187008,3.88501946617038,10.9281198708655,-1.86811855606013,-1.89468711870077
6030,36,50,37.4553185415213,52.0582634068605,4.36535404527698,9.77398776113395,-1.45531854152129,-2.0582634068605
6048,36,50,37.09639224855,51.6686621337188,5.03694682031803,10.0492472719663,-1.09639224854996,-1.66866213371875
6066,36,50,36.8278025410496,51.1420291961303,5.80181934156449,11.0097368908073,-0.827802541049557,-1.14202919613028
6084,36,50,36.6332232791644,50.7739692048492,6.34671864826637,11.681806620909,-0.633223279164355,-0.77396920484918
6102,36,50,36.5043549570615,50.644615009808,6.5442739020014,11.8394624852294,-0.504354957061466,-0.644615009807978
6120,36,50,36.4295215579911,50.6623988177358,6.6004127937781,11.5188656508711,-0.429521557991052,-0.662398817735841
6138,36,50,36.4039439148187,50.6565932158694,6.58041079357808,11.342376523862,-0.40394391481869,-0.656593215869385
6156,36,50,36.4129773237856,50.5120018121507,6.4473537535519,11.564155741405,-0.412977323785569,-0.512001812150736
6174,36,50,36.4360673375324,50.2642499289364,6.27011986812095,12.1729065340492,-0.436067337532414,-0.264249928936444
6192,36,50,36.4679266412095,50.0340154816905,6.05150713954806,12.8458979363617,-0.467926641209516,-0.0340154816904601
6210,36,50,36.4974561786143,49.9349723773808,5.82467963155755,13.3284351481528,-0.497456178614271,0.0650276226191764
6228,36,50,36.5071628663367,49.9787235901991,5.66457138936564,13.2371562514368,-0.507162866336685,0.021276409800933
