Tempo,Referencia_Temperatura,Saida_Temperatura,Controle_Temperatura,Erro_Temperatura
3240,30,30.0032058611196,2.76484881858856,-0.0032058611195751
3258,30,30.0031084000118,2.76366466065642,-0.003108400011822
3276,30,30.0029038912562,2.76248050272429,-0.0029038912561532
3294,30,30.0025957817868,2.76314013992383,-0.00259578178683029
3312,30,30.0021874075468,2.76476315767038,-0.00218740754683466
3330,30,30.0016819970618,2.76638617541693,-0.00168199706178029
3348,30,30.0010826748988,2.76800919316348,-0.00108267489876113
3366,30,30.0005546452336,2.76963221091003,-0.000554645233588502
3384,30,30.000189736318,2.77125522865658,-0.000189736317963707
3402,30,29.9999875992707,2.77133351175825,1.24007292576778e-05
3420,30,29.9999429928378,2.77141179485993,5.70071622441048e-05
3438,30,30.0000508445332,2.7714900779616,-5.08445332272345e-05
3456,30,30.0003062452054,2.77156836106328,-0.000306245205422329
3474,30,30.0005685689179,2.77164664416496,-0.000568568917927337
3492,30,30.0008297300495,2.77172492726663,-0.000829730049495936
3510,30,30.0010897660352,2.77180321036831,-0.00108976603524269
3528,30,30.0013487131049,2.77188149346999,-0.00134871310486062
3546,30,30.0016066063214,2.77195977657166,-0.00160660632144527
3564,30,30.0018634796191,2.77203805967334,-0.00186347961906819
3582,30,30.0021193658391,2.77211634277502,-0.0021193658391141
3600,30,30.0023742967655,2.77093218484288,-0.00237429676548828
3618,30,30.0026283031586,2.76974802691074,-0.00262830315864804
3636,30,30.0028814147886,2.76856386897861,-0.00288141478855408
3654,30,30.0031336604666,2.76737971104647,-0.00313366046659169
3672,30,30.0032740237631,2.76619555311433,-0.00327402376307262
3690,30,30.0032996814658,2.7650113951822,-0.00329968146581905
3708,30,30.003214327095,2.76382723725006,-0.00321432709495539
3726,30,30.0030215352392,2.76264307931792,-0.00302153523924531
3744,30,30.0027247653857,2.76145892138578,-0.00272476538570388
3762,30,30.0023273656259,2.76211855858532,-0.00232736562585956
3780,30,30.0018325762427,2.76374157633187,-0.00183257624270183
3798,30,30.0012435331821,2.76536459407842,-0.00124353318209458
3816,30,30.0005632714125,2.76698761182497,-0.000563271412453048
3834,30,29.999956908396,2.76861062957152,4.30916040095042e-05
3852,30,29.999516188463,2.77023364731807,0.00048381153700916
3870,30,29.9992406815132,2.77031193041975,0.000759318486849736
3888,30,29.9991250676884,2.77039021352143,0.000874932311592858
3906,30,29.9991641984301,2.7704684966231,0.00083580156985974
3924,30,29.9993530909633,2.77054677972478,0.000646909036692733
3942,30,29.9995510480989,2.77062506282646,0.00044895190114147
3960,30,29.9997499152573,2.77070334592813,0.000250084742742018
3978,30,29.9999496631358,2.77078162902981,5.03368642341684e-05
3996,30,30.0001502633752,2.77085991213148,-0.000150263375196857
4014,30,30.0003516885295,2.77093819523316,-0.000351688529526939
4032,30,30.0005539120365,2.77101647833484,-0.000553912036501458
4050,30,30.0007569081892,2.77109476143651,-0.000756908189163852
4068,30,30.0009606521083,2.77117304453819,-0.000960652108318527
4086,30,30.0011651197159,2.77125132763987,-0.00116511971589262
4104,30,30.0013702877091,2.77132961074154,-0.00137028770910774
4122,30,30.0015761335356,2.77140789384322,-0.00157613353555419
4140,30,30.001782635369,2.7714861769449,-0.00178263536900047
4158,30,30.001989772086,2.77156446004657,-0.00198977208602003
4176,30,30.0021975232434,2.77164274314825,-0.00219752324336397
4194,30,30.0024058690561,2.77045858521611,-0.00240586905605156
4212,30,30.0026147903762,2.76927442728398,-0.00261479037618173
4230,30,30.0028242686724,2.76809026935184,-0.0028242686724127
4248,30,30.0030342860101,2.7669061114197,-0.00303428601012001
